IQ,PE,SES,SEX,college_plans,count
0,0,0,male,yes,4
0,0,0,male,no,349
0,1,0,male,yes,13
0,1,0,male,no,64
1,0,0,male,yes,9
1,0,0,male,no,207
1,1,0,male,yes,33
1,1,0,male,no,72
2,0,0,male,yes,12
2,0,0,male,no,126
2,1,0,male,yes,38
2,1,0,male,no,54
3,0,0,male,yes,10
3,0,0,male,no,67
3,1,0,male,yes,49
3,1,0,male,no,43
0,0,1,male,yes,2
0,0,1,male,no,232
0,1,1,male,yes,27
0,1,1,male,no,84
1,0,1,male,yes,7
1,0,1,male,no,201
1,1,1,male,yes,64
1,1,1,male,no,95
2,0,1,male,yes,12
2,0,1,male,no,115
2,1,1,male,yes,93
2,1,1,male,no,92
3,0,1,male,yes,17
3,0,1,male,no,79
3,1,1,male,yes,119
3,1,1,male,no,59
0,0,2,male,yes,8
0,0,2,male,no,166
0,1,2,male,yes,47
0,1,2,male,no,91
1,0,2,male,yes,6
1,0,2,male,no,120
1,1,2,male,yes,74
1,1,2,male,no,110
2,0,2,male,yes,17
2,0,2,male,no,92
2,1,2,male,yes,148
2,1,2,male,no,100
3,0,2,male,yes,6
3,0,2,male,no,42
3,1,2,male,yes,198
3,1,2,male,no,73
0,0,3,male,yes,4
0,0,3,male,no,48
0,1,3,male,yes,39
0,1,3,male,no,57
1,0,3,male,yes,5
1,0,3,male,no,47
1,1,3,male,yes,123
1,1,3,male,no,90
2,0,3,male,yes,9
2,0,3,male,no,41
2,1,3,male,yes,224
2,1,3,male,no,65
3,0,3,male,yes,8
3,0,3,male,no,17
3,1,3,male,yes,414
3,1,3,male,no,54
0,0,0,female,yes,5
0,0,0,female,no,454
0,1,0,female,yes,9
0,1,0,female,no,44
1,0,0,female,yes,5
1,0,0,female,no,312
1,1,0,female,yes,14
1,1,0,female,no,47
2,0,0,female,yes,8
2,0,0,female,no,216
2,1,0,female,yes,20
2,1,0,female,no,35
3,0,0,female,yes,13
3,0,0,female,no,96
3,1,0,female,yes,28
3,1,0,female,no,24
0,0,1,female,yes,11
0,0,1,female,no,285
0,1,1,female,yes,29
0,1,1,female,no,61
1,0,1,female,yes,19
1,0,1,female,no,236
1,1,1,female,yes,47
1,1,1,female,no,88
2,0,1,female,yes,12
2,0,1,female,no,164
2,1,1,female,yes,62
2,1,1,female,no,85
3,0,1,female,yes,15
3,0,1,female,no,113
3,1,1,female,yes,72
3,1,1,female,no,50
0,0,2,female,yes,7
0,0,2,female,no,163
0,1,2,female,yes,36
0,1,2,female,no,72
1,0,2,female,yes,13
1,0,2,female,no,193
1,1,2,female,yes,75
1,1,2,female,no,90
2,0,2,female,yes,12
2,0,2,female,no,174
2,1,2,female,yes,91
2,1,2,female,no,100
3,0,2,female,yes,20
3,0,2,female,no,81
3,1,2,female,yes,142
3,1,2,female,no,77
0,0,3,female,yes,6
0,0,3,female,no,50
0,1,3,female,yes,36
0,1,3,female,no,58
1,0,3,female,yes,5
1,0,3,female,no,70
1,1,3,female,yes,110
1,1,3,female,no,76
2,0,3,female,yes,12
2,0,3,female,no,48
2,1,3,female,yes,230
2,1,3,female,no,81
3,0,3,female,yes,13
3,0,3,female,no,49
3,1,3,female,yes,360
3,1,3,female,no,98
